# International Personality Item Pool (IPIP) — item-assignment table
#
# Source:      TedoneItemAssignmentTable30APR21.xlsx
#              https://ipip.ori.org/newMultipleconstructs.htm
# Provider:    International Personality Item Pool (https://ipip.ori.org),
#              Oregon Research Institute.
# License:     Public domain. IPIP items and scales are provided without
#              copyright restriction; no permission is required to use them.
#              Please credit the IPIP and the Oregon Research Institute.
#
# Normalization applied when converting the source .xlsx to this file:
#   - the single sheet ("data_nodupes") is emitted verbatim, column for column
#     (instrument, alpha, key, text, label); no rows are dropped or rewritten;
#   - 200 trailing all-blank spreadsheet rows are omitted;
#   - rows are sorted by (label, instrument, text) so the file diffs stably.
#
# Shape: 3805 assignments, 1961 unique items, 246 labels, 36 instruments.
#
# Four quirks of the source data that consumers must handle (see items.go):
#   - `alpha` is occasionally a comma-separated list ("0.59,0.63") where an item
#     is assigned via more than one scale; 278 rows are of this form.
#   - `alpha` is "." on 32 rows, all from the IPIP-IPC instrument, where the
#     source reports no reliability for the scale.
#   - `alpha` is out of range on 26 rows: 16 BIS_BAS rows read "1994" (the
#     Carver & White citation year) and 10 MPQ rows read "12" (an item count).
#     Cronbach's alpha cannot exceed 1, so these are slips in the source table
#     and are treated as "no reported reliability".
#   - `key` is 0 (rather than +1/-1) on 39 rows, all from the VIA instrument,
#     where the source leaves the keying direction undetermined.
#
# These are preserved verbatim rather than corrected: this file is a faithful
# copy of the published table, and the interpretation lives in the loader.
#
# Lines beginning with '#' are comments and are skipped by the loader.
instrument,alpha,key,text,label
Span2002,0.78,1,Am often fidgety.,ADHD
Span2002,0.78,1,Begin to answer before the other person finishes the question.,ADHD
Span2002,0.78,1,Don't enjoy doing quiet leisure activities.,ADHD
Span2002,0.78,1,Don't finish the things that I start.,ADHD
Span2002,0.78,1,Don't pay enough attention when others are speaking to me.,ADHD
Span2002,0.78,1,Feel restless a lot of the time.,ADHD
Span2002,0.78,1,Find it difficult to organize tasks and activities.,ADHD
Span2002,0.78,1,Find it difficult to sit still for long periods of time.,ADHD
Span2002,0.78,1,Forget things.,ADHD
Span2002,0.78,1,Have been told I'm not listening when others are speaking to me.,ADHD
Span2002,0.78,1,Have difficulty keeping my attention on a task.,ADHD
Span2002,0.78,1,Make careless mistakes.,ADHD
6FPQ,0.82,1,Accomplish a lot of work.,Achievement-striving
6FPQ,0.82,1,Do a lot in my spare time.,Achievement-striving
6FPQ,0.82,-1,Do just enough work to get by.,Achievement-striving
6FPQ,0.82,1,Do more than what's expected of me.,Achievement-striving
6FPQ,0.82,1,Excel in what I do.,Achievement-striving
6FPQ,0.82,-1,Find it difficult to get down to work.,Achievement-striving
6FPQ,0.82,-1,Hang around doing nothing.,Achievement-striving
6FPQ,0.82,-1,Need a push to get started.,Achievement-striving
6FPQ,0.82,1,Plunge into tasks with all my heart.,Achievement-striving
6FPQ,0.82,-1,Shirk my duties.,Achievement-striving
HPI-HIC,0.7,1,Accept challenging tasks.,Achievement-striving
HPI-HIC,0.7,1,Am good at many things.,Achievement-striving
HPI-HIC,0.7,-1,Am not highly motivated to succeed.,Achievement-striving
HPI-HIC,0.7,1,Feel up to any task.,Achievement-striving
HPI-HIC,0.7,-1,Undertake few things on my own.,Achievement-striving
MPQ,0.79,1,Continue until everything is perfect.,Achievement-striving
MPQ,0.79,-1,Do too little work.,Achievement-striving
MPQ,0.79,-1,Have a slow pace to my life.,Achievement-striving
MPQ,0.79,1,Work hard.,Achievement-striving
MPQ,0.79,1,Work too much.,Achievement-striving
NEO,0.78,1,Demand quality.,Achievement-striving
NEO,0.78,1,Go straight for the goal.,Achievement-striving
NEO,0.78,-1,Put little time and effort into my work.,Achievement-striving
NEO,0.78,1,Set high standards for myself and others.,Achievement-striving
NEO,0.78,1,Turn plans into actions.,Achievement-striving
TCI,0.78,1,Never give up.,Achievement-striving
TCI,0.78,1,Take control of things.,Achievement-striving
TCI,0.78,1,Try to lead others.,Achievement-striving
TCI,0.78,1,Try to outdo others.,Achievement-striving
TCI,0.78,1,Try to surpass others' accomplishments.,Achievement-striving
TCI,0.78,1,Want to be in charge.,Achievement-striving
TCI,0.78,1,Want to be the very best.,Achievement-striving
JPI,0.81,1,Accomplish a lot of work.,Activity-Level
JPI,0.81,1,Am always busy.,Activity-Level
JPI,0.81,1,Am always on the go.,Activity-Level
JPI,0.81,-1,Am easily discouraged.,Activity-Level
JPI,0.81,1,Can manage many things at the same time.,Activity-Level
JPI,0.81,1,Do a lot in my spare time.,Activity-Level
JPI,0.81,-1,Do too little work.,Activity-Level
JPI,0.81,-1,Hang around doing nothing.,Activity-Level
JPI,0.81,-1,Have a slow pace to my life.,Activity-Level
JPI,0.81,-1,Need a push to get started.,Activity-Level
NEO,0.71,-1,Let things proceed at their own pace.,Activity-Level
NEO,0.71,-1,Like a leisurely lifestyle.,Activity-Level
NEO,0.71,-1,Like to take it easy.,Activity-Level
NEO,0.71,-1,Like to take my time.,Activity-Level
NEO,0.71,1,React quickly.,Activity-Level
NEO,0.71,-1,React slowly.,Activity-Level
6FPQ,0.67,1,Adapt easily to new situations.,Adaptability
6FPQ,0.67,-1,Am a bad loser.,Adaptability
6FPQ,0.67,1,Am good at taking advice.,Adaptability
6FPQ,0.67,1,Can stand criticism.,Adaptability
6FPQ,0.67,-1,Can't stand being contradicted.,Adaptability
6FPQ,0.67,-1,Don't tolerate critics.,Adaptability
6FPQ,0.67,-1,Put down others' proposals.,Adaptability
6FPQ,0.67,-1,Want to have the last word.,Adaptability
6FPQ,0.7,-1,Am a creature of habit.,Adventurousness
6FPQ,0.7,-1,Am attached to conventional ways.,Adventurousness
6FPQ,0.7,-1,Dislike changes.,Adventurousness
6FPQ,0.7,-1,Dislike the unknown.,Adventurousness
6FPQ,0.7,-1,Don't like to travel.,Adventurousness
6FPQ,0.7,1,Like to visit new places.,Adventurousness
6FPQ,0.7,1,Seek adventure.,Adventurousness
6FPQ,0.7,1,Try to do too difficult things.,Adventurousness
6FPQ,0.7,1,Would like to live for awhile in a different country.,Adventurousness
6FPQ,0.7,-1,Would never go hang-gliding or bungee-jumping.,Adventurousness
CPI,0.71,1,Am open to change.,Adventurousness
CPI,0.71,-1,Am the last to laugh at a joke.,Adventurousness
CPI,0.71,1,Amuse my friends.,Adventurousness
CPI,0.71,1,Believe that I am important.,Adventurousness
CPI,0.71,-1,Hate surprises.,Adventurousness
CPI,0.71,1,Have a lot of fun.,Adventurousness
CPI,0.71,1,Let myself go.,Adventurousness
CPI,0.71,-1,Seldom joke around.,Adventurousness
CPI,0.71,1,Try out new things.,Adventurousness
NEO,0.77,-1,Dislike new foods.,Adventurousness
NEO,0.77,-1,Don't like the idea of change.,Adventurousness
NEO,0.77,1,Interested in many things.,Adventurousness
NEO,0.77,1,Like to begin new things.,Adventurousness
NEO,0.77,-1,Prefer to stick with things that I know.,Adventurousness
NEO,0.77,1,Prefer variety to routine.,Adventurousness
ORVIS,0.82,1,Be a bounty hunter,Adventurousness
ORVIS,0.82,1,Be a long-distance bicycle rider,Adventurousness
ORVIS,0.82,1,Be a military officer,Adventurousness
ORVIS,0.82,1,Be a police officer,Adventurousness
ORVIS,0.82,1,Be a professional athlete,Adventurousness
ORVIS,0.82,1,Be a racing car driver,Adventurousness
ORVIS,0.82,1,Compete in athletic events,Adventurousness
ORVIS,0.82,1,Engage in exciting adventures,Adventurousness
ORVIS,0.82,1,Face physical danger,Adventurousness
ORVIS,0.82,1,Survive in the wilderness,Adventurousness
BFAS,0.78,1,Believe in the importance of art.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,-1,Do not like poetry.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,1,Enjoy the beauty of nature.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,1,Get deeply immersed in music.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,1,Love to reflect on things.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,1,Need a creative outlet.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,1,See beauty in things that others might not notice.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,-1,Seldom daydream.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,-1,Seldom get lost in thought.,Aesthetic Appreciation/Artistic Interests
BFAS,0.78,-1,Seldom notice the emotional aspects of paintings and pictures.,Aesthetic Appreciation/Artistic Interests
HEXACO_PI,0.83,-1,Do not enjoy watching dance performances.,Aesthetic Appreciation/Artistic Interests
HEXACO_PI,0.83,-1,Do not like art.,Aesthetic Appreciation/Artistic Interests
HEXACO_PI,0.83,-1,Do not like concerts.,Aesthetic Appreciation/Artistic Interests
HEXACO_PI,0.83,1,"Enjoy feeling ""close to the earth.""",Aesthetic Appreciation/Artistic Interests
HEXACO_PI,0.83,1,Have read the great literary classics.,Aesthetic Appreciation/Artistic Interests
HPI-HIC,0.77,-1,Do not enjoy going to art museums.,Aesthetic Appreciation/Artistic Interests
HPI-HIC,0.77,1,Like music.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,1,Love flowers.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,1,Am in awe of simple things in life that others might take for granted.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,0,Am rarely aware of the natural beauty in the environment.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,1,Appreciate all forms of art.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,1,Can become tearful thinking of the goodness of others.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,1,Crave the experience of great art.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,1,Experience deep emotions when I see beautiful things.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,-1,Fail to notice beauty until others comment on it.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,1,Feel it's important to live in a world of beauty.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,1,Have been left speechless by the beauty depicted in a movie.,Aesthetic Appreciation/Artistic Interests
VIA,0.77,0,Have not created something of beauty in the last year.,Aesthetic Appreciation/Artistic Interests
CAT-PD,"0.83,0.86",-1,Can remain cool-headed when stressed out.,Affective Lability
CAT-PD,"0.83,0.86",1,Have frequent mood swings.,Affective Lability
CAT-PD,"0.83,0.86",1,Have unpredictable emotions and moods.,Affective Lability
CAT-PD,"0.83,0.86",-1,Know how to cope.,Affective Lability
CAT-PD,"0.83,0.86",1,Lose control over my behavior when I'm emotional.,Affective Lability
CAT-PD,"0.83,0.86",1,Overreact to every little thing in life.,Affective Lability
6FPQ,0.73,1,Accept people as they are.,Agreeableness
6FPQ,0.73,-1,Am annoyed by others' mistakes.,Agreeableness
6FPQ,0.73,-1,Am easily offended.,Agreeableness
6FPQ,0.73,1,Am inclined to forgive others.,Agreeableness
6FPQ,0.73,1,Am not disturbed by events.,Agreeableness
6FPQ,0.73,-1,Get back at others.,Agreeableness
6FPQ,0.73,-1,Hold a grudge.,Agreeableness
6FPQ,0.73,1,Take things as they come.,Agreeableness
6FPQ,0.73,1,Tolerate a lot from others.,Agreeableness
6FPQ,0.73,1,Try to forgive and forget.,Agreeableness
7FACTOR,0.77,1,Am concerned about others.,Agreeableness
7FACTOR,0.77,-1,Am not interested in other people's problems.,Agreeableness
7FACTOR,0.77,1,Feel others' emotions.,Agreeableness
7FACTOR,0.77,-1,Find fault with everything.,Agreeableness
7FACTOR,0.77,1,Have a soft heart.,Agreeableness
7FACTOR,0.77,-1,Insult people.,Agreeableness
7FACTOR,0.77,1,Make people feel at ease.,Agreeableness
7FACTOR,0.77,-1,Put people under pressure.,Agreeableness
7FACTOR,0.77,1,Sympathize with others' feelings.,Agreeableness
7FACTOR,0.77,-1,Take advantage of others.,Agreeableness
BFAS-20,0.88,-1,Am hard to get to know.,Agreeableness
BFAS-20,0.88,-1,Am indifferent to the feelings of others.,Agreeableness
BFAS-20,0.88,1,Am interested in people.,Agreeableness
BFAS-20,0.88,-1,Am not really interested in others.,Agreeableness
BFAS-20,0.88,1,Am on good terms with nearly everyone.,Agreeableness
BFAS-20,0.88,-1,Feel little concern for others.,Agreeableness
BFAS-20,0.88,1,Have a good word for everyone.,Agreeableness
BFAS-20,0.88,1,Inquire about others' well-being.,Agreeableness
BFAS-20,0.88,1,Know how to comfort others.,Agreeableness
BFAS-20,0.88,1,Love children.,Agreeableness
BFAS-20,0.88,1,Love to help others.,Agreeableness
BFAS-20,0.88,1,Show my gratitude.,Agreeableness
BFAS-20,0.88,1,Take time out for others.,Agreeableness
BFAS-20,0.88,1,Think of others first.,Agreeableness
NEO5-20,0.85,1,Am easy to satisfy.,Agreeableness
NEO5-20,0.85,-1,Am out for my own personal gain.,Agreeableness
NEO5-20,0.85,-1,Believe that I am better than others.,Agreeableness
NEO5-20,0.85,1,Believe that others have good intentions.,Agreeableness
NEO5-20,0.85,-1,Contradict others.,Agreeableness
NEO5-20,0.85,-1,Cut others to pieces.,Agreeableness
NEO5-20,0.85,-1,Have a sharp tongue.,Agreeableness
NEO5-20,0.85,-1,Make demands on others.,Agreeableness
NEO5-20,0.85,1,Respect others.,Agreeableness
NEO5-20,0.85,-1,Suspect hidden motives in others.,Agreeableness
NEO5-20,0.85,1,Treat all people equally.,Agreeableness
NEO5-20,0.85,1,Trust what people say.,Agreeableness
NEO,0.77,1,Am concerned about others.,Altruism
NEO,0.77,-1,Am indifferent to the feelings of others.,Altruism
NEO,0.77,1,Anticipate the needs of others.,Altruism
NEO,0.77,1,Have a good word for everyone.,Altruism
NEO,0.77,-1,Look down on others.,Altruism
NEO,0.77,1,Love to help others.,Altruism
NEO,0.77,-1,Make people feel uncomfortable.,Altruism
NEO,0.77,1,Make people feel welcome.,Altruism
NEO,0.77,-1,Take no time for others.,Altruism
NEO,0.77,-1,Turn my back on others.,Altruism
ORVIS,0.86,1,Be a counselor or therapist,Altruism
ORVIS,0.86,1,Be a doctor or nurse,Altruism
ORVIS,0.86,1,"Be a minister, priest, rabbi or other religious teacher",Altruism
ORVIS,0.86,1,Be a physical therapist,Altruism
ORVIS,0.86,1,Be a social worker,Altruism
ORVIS,0.86,1,Be an elementary-school teacher,Altruism
ORVIS,0.86,1,Care for sick people,Altruism
ORVIS,0.86,1,Counsel persons who need help,Altruism
ORVIS,0.86,1,Help others learn new ideas,Altruism
ORVIS,0.86,1,Help people make career decisions,Altruism
ORVIS,0.86,1,Instruct parents on child care,Altruism
ORVIS,0.86,1,Participate in charity events,Altruism
ORVIS,0.86,1,Provide comfort and support to others,Altruism
BIS_BAS,0.77,-1,Am not an extraordinary person.,Ambition/Drive
BIS_BAS,0.77,-1,Am not highly motivated to succeed.,Ambition/Drive
BIS_BAS,0.77,-1,Hate being the center of attention.,Ambition/Drive
BIS_BAS,0.77,1,Have a strong need for power.,Ambition/Drive
BIS_BAS,0.77,1,Know how to get around the rules.,Ambition/Drive
BIS_BAS,0.77,1,Like to show off my body.,Ambition/Drive
BIS_BAS,0.77,1,Push myself very hard to succeed.,Ambition/Drive
BIS_BAS,0.77,1,Take charge.,Ambition/Drive
BIS_BAS,0.77,1,Try to surpass others' accomplishments.,Ambition/Drive
BIS_BAS,0.77,1,Want to be in charge.,Ambition/Drive
CPI,0.83,1,Am not easily annoyed.,Amiability
CPI,0.83,-1,Am often in a bad mood.,Amiability
CPI,0.83,-1,Get angry easily.,Amiability
CPI,0.83,-1,Get out of control.,Amiability
CPI,0.83,-1,Have days when I'm mad at the world.,Amiability
CPI,0.83,1,Rarely complain.,Amiability
CPI,0.83,1,Rarely get irritated.,Amiability
CPI,0.83,1,Seldom get mad.,Amiability
CPI,0.83,1,Seldom take offense.,Amiability
CPI,0.83,-1,Suspect hidden motives in others.,Amiability
BFAS,0.89,1,Am a person whose moods go up and down easily.,Anger
BFAS,0.89,-1,Am not easily annoyed.,Anger
BFAS,0.89,1,Can be stirred up easily.,Anger
BFAS,0.89,1,Change my mood a lot.,Anger
BFAS,0.89,1,Get angry easily.,Anger
BFAS,0.89,1,Get easily agitated.,Anger
BFAS,0.89,1,Get upset easily.,Anger
BFAS,0.89,-1,Keep my emotions under control.,Anger
BFAS,0.89,-1,Rarely get irritated.,Anger
BFAS,0.89,-1,Rarely lose my composure.,Anger
CAT-PD,"0.83,0.85",-1,Don't let little things anger me.,Anger
CAT-PD,"0.83,0.85",1,Get irritated easily.,Anger
CAT-PD,"0.83,0.85",1,Have a violent temper.,Anger
CAT-PD,"0.83,0.85",1,Often feel overwhelmed with rage.,Anger
NEO,0.88,1,Am often in a bad mood.,Anger
NEO,0.88,-1,Keep my cool.,Anger
